,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
633,0.91,1.23,3.28,-2.97,1.9,0.01,2016,4
634,1.78,-0.61,-1.66,-1.09,-2.48,0.01,2016,5
635,-0.05,0.45,-1.48,1.4,1.94,0.02,2016,6
636,3.95,2.48,-1.32,1.26,-1.18,0.02,2016,7
637,0.49,1.68,3.18,-1.85,-0.34,0.02,2016,8
638,0.25,1.85,-1.24,-2.21,0.03,0.02,2016,9
639,-2.02,-4.02,4.09,0.93,0.28,0.02,2016,10
640,4.86,7.07,8.21,-0.18,3.7,0.01,2016,11
641,1.82,0.41,3.53,1.22,-0.23,0.03,2016,12
642,1.94,-1.46,-2.75,-0.49,-0.99,0.04,2017,1
643,3.57,-2.22,-1.67,0.47,-1.83,0.04,2017,2
644,0.17,0.74,-3.35,0.61,-0.94,0.03,2017,3
645,1.09,0.48,-2.13,1.9,-1.6,0.05,2017,4
646,1.06,-3.06,-3.78,0.95,-1.79,0.06,2017,5
647,0.78,2.58,1.48,-2.22,0.0,0.06,2017,6
648,1.87,-1.69,-0.31,-0.64,-0.2,0.07,2017,7
649,0.16,-1.82,-2.09,0.14,-2.38,0.09,2017,8
650,2.51,4.78,3.14,-1.47,1.69,0.09,2017,9
651,2.25,-1.94,0.2,0.93,-3.25,0.09,2017,10
652,3.12,-0.33,-0.03,3.16,-0.05,0.08,2017,11
653,1.06,-1.07,0.06,0.74,1.69,0.09,2017,12
654,5.57,-3.18,-1.29,-0.76,-0.96,0.12,2018,1
655,-3.65,0.32,-1.04,0.52,-2.37,0.11,2018,2
656,-2.35,3.59,-0.21,-0.46,0.01,0.11,2018,3
657,0.28,0.93,0.54,-2.42,1.3,0.14,2018,4
658,2.65,4.73,-3.2,-2.04,-1.5,0.14,2018,5
659,0.48,0.8,-2.34,0.79,0.24,0.14,2018,6
660,3.19,-1.93,0.47,1.56,0.35,0.16,2018,7
661,3.44,0.64,-3.94,-0.31,-2.7,0.16,2018,8
662,0.06,-2.48,-1.7,0.63,1.29,0.15,2018,9
663,-7.68,-4.46,3.4,0.94,3.59,0.19,2018,10
664,1.69,-0.77,0.3,-0.55,0.39,0.18,2018,11
665,-9.57,-2.88,-1.84,-0.02,0.21,0.2,2018,12
666,8.4,3.03,-0.46,-0.8,-1.51,0.21,2019,1
667,3.4,1.74,-2.67,0.12,-1.59,0.18,2019,2
668,1.1,-3.51,-4.17,0.9,-0.95,0.19,2019,3
669,3.97,-1.17,2.15,1.61,-2.22,0.21,2019,4
670,-6.94,-1.59,-2.37,-0.46,1.77,0.21,2019,5
671,6.93,0.37,-0.71,0.9,-0.44,0.18,2019,6
672,1.19,-1.78,0.48,-0.08,0.36,0.19,2019,7
673,-2.58,-3.24,-4.78,0.56,-0.68,0.16,2019,8
674,1.43,0.27,6.75,1.84,3.37,0.18,2019,9
675,2.06,0.26,-1.91,0.44,-0.96,0.16,2019,10
676,3.87,0.44,-2.02,-1.59,-1.24,0.12,2019,11
677,2.77,0.97,1.75,0.01,1.24,0.14,2019,12
